[2022-10-10T19:42:27.308] [WARN] default - Ejemplo warn
[2022-10-24T12:04:58.523] [WARN] default - Password did not match
[2022-10-24T12:08:40.013] [WARN] default - Password did not match
[2022-10-24T12:10:20.254] [WARN] default - Password did not match
[2022-10-24T12:14:03.047] [WARN] default - Password did not match
[2022-10-24T12:20:45.502] [WARN] default - Password did not match
[2022-10-24T12:26:16.474] [WARN] default - Password did not match
[2022-10-24T12:29:05.497] [WARN] default - Password did not match
[2022-10-24T12:29:42.731] [WARN] default - Password did not match for user 'nico3'
[2022-10-24T12:30:04.992] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:31:22.498] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:34:38.556] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:37:51.860] [WARN] default - Given password did not match for user 'nico2'
[2022-10-24T12:49:32.268] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:49:42.721] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:50:02.798] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:52:16.067] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:53:16.048] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:53:43.939] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:54:29.396] [WARN] default - Given password did not match for user 'nico3'
[2022-10-24T12:55:30.296] [WARN] default - Given password did not match for user 'nico3'
